Location,UWI,Reading Time,Average Amps (A) (Raw),Drive Frequency (Hz) (Raw),Intake Pressure (psi) (Raw),Discharge Pressure (psi) (Raw),Intake Temperature (F) (Raw),Motor Temperature (F) (Raw),Vibration (gravit) (Raw),Virtual Rate (BFPD) (Raw)
SKW-15,SKW-15,2025-07-28 02:55:00,20.1,45.0,797.400000000528,2306.0,98.900000006,121.899999992,0.00611829726,1266.3254686274172
SKW-15,SKW-15,2025-07-28 02:56:00,20.7,45.0,796.700000000032,2302.30000000028,98.900000006,122.700000002,0.00509858105,1405.8476914749733
SKW-15,SKW-15,2025-07-28 02:57:00,21.0,45.0,795.999999999537,2300.80000000067,98.900000006,122.700000002,0.00611829726,1409.3554464016736
SKW-15,SKW-15,2025-07-28 02:58:00,21.0,45.0,793.699999999358,2299.49999999975,98.900000006,123.400000004,0.00611829726,1409.3649693616753
SKW-15,SKW-15,2025-07-28 02:59:00,20.7,45.0,792.099999999676,2299.69999999989,98.900000006,123.499999994,0.00611829726,1405.9967947439304
SKW-15,SKW-15,2025-07-28 03:00:00,20.6,45.0,791.699999999392,2299.90000000003,98.900000006,123.499999994,0.00611829726,1388.6335792137372
SKW-15,SKW-15,2025-07-28 03:01:00,20.5,45.0,793.599999999287,2300.30000000032,98.900000006,124.399999994,0.00713801347,1384.5440761477491
SKW-15,SKW-15,2025-07-28 03:02:00,17.8,45.0,794.700000000066,2300.30000000032,98.900000006,124.199999996,0.00509858105,1286.0351233835631
SKW-15,SKW-15,2025-07-28 03:05:00,20.7,45.0,796.499999999891,2297.69999999993,98.999999996,122.0,0.00611829726,1405.9876946493935
SKW-15,SKW-15,2025-07-28 03:06:00,20.7,45.0,795.899999999466,2295.29999999968,98.999999996,122.300000006,0.00611829726,1405.9628192085936
SKW-15,SKW-15,2025-07-28 03:08:00,20.8,45.0,793.200000000455,2294.89999999939,98.999999996,123.299999996,0.00713801347,1407.1006470742427
SKW-15,SKW-15,2025-07-28 03:11:00,20.5,45.0,794.099999999641,2298.70000000063,98.999999996,124.199999996,0.00611829726,1384.5370682789828
SKW-15,SKW-15,2025-07-28 03:12:00,18.6,45.0,796.199999999678,2300.80000000067,99.100000004,124.199999996,0.00713801347,1279.894786769814
SKW-15,SKW-15,2025-07-28 03:13:00,17.6,45.0,796.499999999891,2302.6000000005,99.100000004,123.699999992,0.00611829726,1287.3637201109425
